groupid,user,activities
log_user55,user42,24
log_user55,user26,67
log_user55,user29,25
log_user55,user47,4
log_user55,user55,174
log_user59,user37,43
log_user59,user53,58
log_user59,user50,71
log_user59,user59,19
log_user59,user17,196
log_user40,user24,96
log_user40,user40,148
log_user40,user16,77
log_user40,user44,20
log_user3,user14,18
log_user3,user32,37
log_user3,user3,181
log_user3,user15,140
log_user38,user56,16
log_user38,user57,14
log_user38,user28,41
log_user38,user38,56
log_user18,user18,107
log_user18,user10,14
log_user18,user48,50
log_user18,user43,21
log_user52,user33,111
log_user52,user20,7
log_user52,user52,46
log_user52,user31,9
log_user36,user54,29
log_user36,user36,25
log_user36,user27,26
log_user36,user51,53
log_user25,user25,157
log_user25,user58,22
log_user25,user41,25
log_user25,user2,25
log_user0,user34,61
log_user0,user8,42
log_user0,user0,94
log_user0,user22,38
log_user12,user11,92
log_user12,user12,170
log_user12,user13,244
log_user12,user46,203
log_user21,user4,94
log_user21,user21,155
log_user21,user23,99
log_user21,user9,88
log_user39,user6,152
log_user39,user7,148
log_user39,user45,99
log_user39,user39,71
log_user35,user60,13
log_user35,user49,20
log_user35,user35,69
log_user35,user1,17
